priority,disposition,audience,cluster,cluster_canonical,status,in_sitemap,imp,clk,ctr,pos,slug,url,lastmod,reason
P0,FIX_SITEMAP_UPGRADE,B2C-misaligned,iphone-cost-by-model,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,indexed_with_traffic,False,1945,0,0.0,7.8,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,https://www.phonerepairspares.com/blog/iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,,高曝光但不在 sitemap 且 0 点击：加入 sitemap + 修 schema/title 抢救
P0,FIX_SITEMAP_UPGRADE,B2C-misaligned,screen-tech-edu,how-are-mobile-phone-screens-made-complete-production-process-analysis-from-lcd-to-oled,indexed_with_traffic,False,841,0,0.0,11.6,how-are-mobile-phone-screens-made-complete-production-process-analysis-from-lcd-to-oled,https://www.phonerepairspares.com/blog/how-are-mobile-phone-screens-made-complete-production-process-analysis-from-lcd-to-oled,,高曝光但不在 sitemap 且 0 点击：加入 sitemap + 修 schema/title 抢救
P0,FIX_SITEMAP_UPGRADE,B2C-misaligned,screen-tech-edu,how-are-mobile-phone-screens-made-complete-production-process-analysis-from-lcd-to-oled,indexed_with_traffic,False,225,0,0.0,10.9,whats-the-real-difference-between-oled-and-lcd-phone-screens,https://www.phonerepairspares.com/blog/whats-the-real-difference-between-oled-and-lcd-phone-screens,,高曝光但不在 sitemap 且 0 点击：加入 sitemap + 修 schema/title 抢救
P0,FIX_SITEMAP_UPGRADE,B2C-misaligned,screen-tech-edu,how-are-mobile-phone-screens-made-complete-production-process-analysis-from-lcd-to-oled,indexed_with_traffic,False,125,0,0.0,9.0,oled-vs-lcd-comparison-guide,https://www.phonerepairspares.com/blog/oled-vs-lcd-comparison-guide,,高曝光但不在 sitemap 且 0 点击：加入 sitemap + 修 schema/title 抢救
P0,FIX_SITEMAP_UPGRADE,B2B,wholesaler-verify,how-can-you-find-trustworthy-wholesale-suppliers-for-mobile-phone-repair-parts-the-complete-quality-control-guide,indexed_with_traffic,False,185,0,0.0,6.6,how-can-you-find-trustworthy-wholesale-suppliers-for-mobile-phone-repair-parts-the-complete-quality-control-guide,https://www.phonerepairspares.com/blog/how-can-you-find-trustworthy-wholesale-suppliers-for-mobile-phone-repair-parts-the-complete-quality-control-guide,,高曝光但不在 sitemap 且 0 点击：加入 sitemap + 修 schema/title 抢救
P1,KEEP_UPGRADE,B2B,iphone-back-glass,is-your-iphone-14-pro-max-back-glass-worth-fixing-the-complete-cost-benefit-guide-for-repair-shop-owners,indexed_with_traffic,True,1049,6,0.6,11.8,is-your-iphone-14-pro-max-back-glass-worth-fixing-the-complete-cost-benefit-guide-for-repair-shop-owners,https://www.phonerepairspares.com/blog/is-your-iphone-14-pro-max-back-glass-worth-fixing-the-complete-cost-benefit-guide-for-repair-shop-owners,2026-04-22T02:04:51.085Z,已有点击，重点保留并升级（加原创数据/图片/作者署名）
P1,KEEP_UPGRADE,B2C-misaligned,iphone-cost-by-model,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,indexed_with_traffic,True,1004,1,0.0,10.2,which-iphone-14-pro-max-screen-replacement-option-delivers-the-best-value-for-your-repair-business,https://www.phonerepairspares.com/blog/which-iphone-14-pro-max-screen-replacement-option-delivers-the-best-value-for-your-repair-business,2026-04-22T02:04:51.085Z,已有点击，重点保留并升级（加原创数据/图片/作者署名）
P1,KEEP_UPGRADE,B2C-misaligned,iphone-cost-by-model,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,indexed_with_traffic,True,524,1,0.2,7.6,iphone-13-screen-replacement,https://www.phonerepairspares.com/blog/iphone-13-screen-replacement,2026-04-22T02:04:51.085Z,已有点击，重点保留并升级（加原创数据/图片/作者署名）
P1,KEEP_AS_CANONICAL,B2C-misaligned,iphone-issues-diagnosis,iphone-unknown-part-warning-screen-replacement-ic-transfer,indexed_with_traffic,True,73,0,0.0,7.3,iphone-unknown-part-warning-screen-replacement-ic-transfer,https://www.phonerepairspares.com/blog/iphone-unknown-part-warning-screen-replacement-ic-transfer,2026-04-22T02:04:51.085Z,作为集群 canonical：升级内容，承接其他页 301
P1,FIX_SITEMAP,B2C-misaligned,screen-tech-edu,how-are-mobile-phone-screens-made-complete-production-process-analysis-from-lcd-to-oled,indexed_with_traffic,False,38,0,0.0,12.0,oled-vs-lcd-comprehensive-comparison,https://www.phonerepairspares.com/blog/oled-vs-lcd-comprehensive-comparison,,已收录但不在 sitemap：加入 sitemap
P1,FIX_SITEMAP,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,indexed_with_traffic,False,1,0,0.0,10.0,samsung-a-series-repair-parts-small-buyers-source-first,https://www.phonerepairspares.com/blog/samsung-a-series-repair-parts-small-buyers-source-first,,已收录但不在 sitemap：加入 sitemap
P1,UPGRADE,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,indexed_with_traffic,True,222,0,0.0,8.4,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,https://www.phonerepairspares.com/blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,2026-04-22T02:04:51.084Z,高曝光 0 点击：修 Title/Meta/Schema、加原创数据
