priority,bucket,query,gsc_position,gsc_impressions,gsc_clicks,monthly_volume,competition,cpc,commercial
125.0,NEW,iphone 14 pro max,7.0,1,0,201000,HIGH,1.06,
121.0,NEW,14 pro max,10.0,2,0,22200,HIGH,0.93,
115.9,CTR_FIX,"how do i verify a phone parts wholesaler is reliable, not gray-market, using pricing, invoices, and warranty checks?",3.4,72,0,,,,Y
104.0,NEW,cost of new battery for ipad,39.5,2,0,2400,LOW,2.39,Y
99.7,CTR_FIX,how to verify phone parts wholesaler reliability not gray market,2.9,38,0,0,,,Y
92.5,CTR_FIX,how to verify phone parts wholesaler reliable not gray market,1.0,18,0,0,,,Y
90.2,LONGTAIL,14 pro back glass replacement cost,7.0,1,0,10,LOW,4.96,Y
85.4,HARVEST,iphone battery wholesale,24.9,25,1,10,LOW,0.28,Y
84.6,CTR_FIX,iphone back glass replacement cost 2026,4.6,13,0,0,,,Y
84.6,CTR_FIX,apple official iphone back glass replacement cost 2026,3.9,11,0,0,,,Y
83.6,LONGTAIL,red flags gray market phone parts wholesalers pricing invoices warranty,2.6,5,0,0,,,Y
83.5,LONGTAIL,iphone 11 back glass replacement cost 2026,2.0,3,0,0,,,Y
83.0,LONGTAIL,red flags gray market phone parts wholesaler pricing invoices warranty,2.0,2,0,0,,,Y
81.5,LONGTAIL,iphone 14 pro max back glass replacement cost 2026,3.0,2,0,0,,,Y
81.5,NEW,how much does it cost to replace a phone screen,76.0,1,0,1300,LOW,4.22,Y
81.3,LONGTAIL,apple iphone back glass replacement cost 2026,5.1,8,0,0,,,Y
80.0,LONGTAIL,apple iphone battery suppliers 2025 2026,4.3,3,0,0,,,Y
80.0,LONGTAIL,how can i tell if a seller is reliable when buying phone parts?,4.3,3,0,,,,Y
79.5,LONGTAIL,iphone 14 pro max back glass repair cost 2026,5.0,4,0,0,,,Y
79.5,LONGTAIL,apple iphone back glass replacement cost 2025 2026,4.0,1,0,0,,,Y
79.5,LONGTAIL,red flags unreliable electronics suppliers wholesale,4.0,1,0,,,,Y
78.5,LONGTAIL,iphone 14 pro back glass repair price 2026,5.0,2,0,0,,,Y
78.0,LONGTAIL,iphone 8 back glass replacement cost 2026,5.0,1,0,,,,Y
77.9,LONGTAIL,iphone 14 pro max back glass repair cost apple 2026,7.4,8,0,0,,,Y
77.8,LONGTAIL,iphone charging port repair cost uk 2026,5.5,2,0,0,,,Y
76.5,LONGTAIL,applecare+ iphone 14 pro back glass repair cost rear system,6.0,1,0,0,,,Y
76.5,LONGTAIL,iphone 12 screen replacement cost uk 2026,6.0,1,0,0,,,Y
76.5,LONGTAIL,iphone 16 pro back glass repair cost apple 2026,6.0,1,0,,,,Y
76.2,LONGTAIL,iphone 11 back glass repair cost 2026,6.5,2,0,0,,,Y
76.1,LONGTAIL,iphone 13 back glass replacement cost 2026,8.6,8,0,0,,,Y
75.5,LONGTAIL,iphone 14 pro max back glass replacement cost apple 2026,7.3,3,0,0,,,Y
75.5,LONGTAIL,samsung sdi apple batteries supplier,7.3,3,0,0,,,Y
75.2,LONGTAIL,14 pro display price,7.0,1,0,10,,,Y
75.2,LONGTAIL,iphone 14 oled display price,7.0,1,0,10,,,Y
75.0,LONGTAIL,iphone 13 back glass repair cost 2026,8.0,4,0,0,,,Y
75.0,LONGTAIL,iphone 14 pro max back repair cost,7.0,1,0,,,,Y
74.6,LONGTAIL,samsung battery supplier for iphone,9.6,8,0,0,,,Y
74.0,LONGTAIL,iphone 12 back glass replacement cost 2026,8.0,2,0,0,,,Y
73.9,PUSH,iphone 14 back glass replacement cost,29.9,27,0,260,LOW,0.43,Y
73.5,LONGTAIL,iphone 15 pro back glass replacement cost apple 2026,8.0,1,0,,,,Y
73.5,LONGTAIL,iphone screen replacement cost apple 2026,8.0,1,0,,,,Y
73.1,NEW,cost of repairing iphone back glass,57.0,1,0,880,LOW,2.43,Y
72.5,LONGTAIL,apple iphone back glass repair cost 2026,9.0,2,0,0,,,Y
72.3,PUSH,iphone 14 pro max back glass replacement,18.8,35,0,2400,HIGH,0.66,
72.0,LONGTAIL,apple iphone battery replacement cost china 2026,9.0,1,0,0,,,Y
72.0,LONGTAIL,iphone 14 back glass replacement cost apple,9.0,1,0,0,,,Y
71.8,LONGTAIL,iphone 14 pro back glass repair cost germany,9.5,2,0,0,,,Y
71.8,LONGTAIL,iphone 15 back glass repair cost apple 2026,9.5,2,0,0,,,Y
71.8,LONGTAIL,samsung sdi apple batteries supplier source,9.5,2,0,0,,,Y
71.5,LONGTAIL,iphone 13 pro max back glass replacement cost 2026,10.0,3,0,0,,,Y
71.3,PUSH,iphone 14 pro max back glass replacement cost,25.9,10,0,260,LOW,0.58,Y
71.0,LONGTAIL,iphone 16 back glass repair cost apple 2026,10.0,2,0,0,,,Y
70.1,LONGTAIL,samsung sdi apple battery supplier source,11.2,4,0,0,,,Y
69.9,LONGTAIL,iphone 14 back glass replacement cost 2026,12.4,7,0,0,,,Y
68.0,LONGTAIL,samsung battery supplier for apple iphone,12.0,2,0,0,,,Y
66.9,LONGTAIL,wholesale mobile phone batteries,25.0,8,0,20,LOW,,Y
66.0,LONGTAIL,iphone 15 pro back glass replacement cost 2026,13.0,1,0,,,,Y
65.1,NEW,apple phone screen repair cost,57.0,1,0,480,LOW,,Y
63.3,NEW,estimate it,6.0,1,0,590,LOW,,
62.7,NEW,iphone 14 pro back glass replacement price,34.2,11,0,110,LOW,4.25,Y
62.6,LONGTAIL,iphone back glass replacement guide cost diy,16.6,5,0,0,,,Y
62.4,NEW,how much does it cost to fix iphone back,67.0,2,0,320,LOW,,Y
62.0,LONGTAIL,apple official iphone back glass replacement price,16.0,2,0,0,,,Y
62.0,LONGTAIL,iphone 14 pro back glass repair cost,16.0,2,0,0,,,Y
61.6,LONGTAIL,apple 14 pro back glass replacement cost,27.4,5,0,10,LOW,,Y
61.2,NEW,iphone back glass replacement cost,41.2,4,0,210,LOW,1.91,Y
